way,x,y
2751862209,|{'lon': -0.1473056, 'lat': 51.4535144}|
2751862210,|{'lon': -0.1473348, 'lat': 51.4535224}|
2751862211,|{'lon': -0.1473664, 'lat': 51.4535244}|
2751862212,|{'lon': -0.1473975, 'lat': 51.45352}|
2751862213,|{'lon': -0.1474248, 'lat': 51.4535098}|
2751862188,|{'lon': -0.1474456, 'lat': 51.4534948}|
2751862191,|{'lon': -0.1474583, 'lat': 51.4534749}|
2751862194,|{'lon': -0.1474596, 'lat': 51.4534536}|
2751862196,|{'lon': -0.1474492, 'lat': 51.4534332}|
2751862199,|{'lon': -0.1474285, 'lat': 51.4534162}|
2751862205,|{'lon': -0.1473997, 'lat': 51.4534046}|
2751862206,|{'lon': -0.1473664, 'lat': 51.4533997}|
2751862207,|{'lon': -0.1473323, 'lat': 51.453402}|
2751862208,|{'lon': -0.1473015, 'lat': 51.4534114}|
2751862200,|{'lon': -0.1472776, 'lat': 51.4534267}|
4318046278,|{'lon': -0.1472711, 'lat': 51.4534352}|
2751862201,|{'lon': -0.147264, 'lat': 51.4534446}|
2751862202,|{'lon': -0.1472601, 'lat': 51.4534643}|
2751862203,|{'lon': -0.1472663, 'lat': 51.4534838}|
2751862204,|{'lon': -0.147282, 'lat': 51.4535011}|
2751862209,|{'lon': -0.1473056, 'lat': 51.4535144}|
4318046276,|{'lon': -0.1470425, 'lat': 51.4533729}|
4318046277,|{'lon': -0.1471549, 'lat': 51.4534034}|
4318046278,|{'lon': -0.1472711, 'lat': 51.4534352}|
2751862209,|{'lon': -0.1473056, 'lat': 51.4535144}|
2751862210,|{'lon': -0.1473348, 'lat': 51.4535224}|
2751862211,|{'lon': -0.1473664, 'lat': 51.4535244}|
2751862212,|{'lon': -0.1473975, 'lat': 51.45352}|
2751862213,|{'lon': -0.1474248, 'lat': 51.4535098}|
2751862188,|{'lon': -0.1474456, 'lat': 51.4534948}|
2751862191,|{'lon': -0.1474583, 'lat': 51.4534749}|
2751862194,|{'lon': -0.1474596, 'lat': 51.4534536}|
2751862196,|{'lon': -0.1474492, 'lat': 51.4534332}|
2751862199,|{'lon': -0.1474285, 'lat': 51.4534162}|
2751862205,|{'lon': -0.1473997, 'lat': 51.4534046}|
2751862206,|{'lon': -0.1473664, 'lat': 51.4533997}|
2751862207,|{'lon': -0.1473323, 'lat': 51.453402}|
2751862208,|{'lon': -0.1473015, 'lat': 51.4534114}|
2751862200,|{'lon': -0.1472776, 'lat': 51.4534267}|
4318046278,|{'lon': -0.1472711, 'lat': 51.4534352}|
2751862201,|{'lon': -0.147264, 'lat': 51.4534446}|
2751862202,|{'lon': -0.1472601, 'lat': 51.4534643}|
2751862203,|{'lon': -0.1472663, 'lat': 51.4534838}|
2751862204,|{'lon': -0.147282, 'lat': 51.4535011}|
2751862209,|{'lon': -0.1473056, 'lat': 51.4535144}|
4318046276,|{'lon': -0.1470425, 'lat': 51.4533729}|
4318046277,|{'lon': -0.1471549, 'lat': 51.4534034}|
4318046278,|{'lon': -0.1472711, 'lat': 51.4534352}|
